"rn","V1","V2","V3","order","count"
"1","insect_ordercoleoptera",-0.812545604207376,-1.11051170798697,-0.514579500427784,"Coleoptera",111
"2","insect_orderhemiptera",-0.533239985706162,-1.17733060220134,0.11085063078902,"Hemiptera",25
"3","insect_orderlepidoptera",-1.43020907397377,-1.98620558351326,-0.874212564434277,"Lepidoptera",33
"4","insect_orderorthoptera",-0.751495653272592,-1.67184492685541,0.168853620310231,"Orthoptera",11
